part,train_accuracy,test_accuracy,train_top5_accuracy,test_top5_accuracy,train_loss,test_loss,time
2,0.08241205662488937,0.07466666400432587,0.40871021151542664,0.343999981880188,2.703261613845825,2.709268569946289,2022-07-11 22:02:25
2,0.0780569538474083,0.06666666269302368,0.4013400375843048,0.3413333296775818,2.7068145275115967,2.711684226989746,2022-07-11 22:14:08
2,0.07470686733722687,0.06666666269302368,0.4073701798915863,0.34200000762939453,2.705502510070801,2.7092347145080566,2022-07-11 22:21:59
2,0.07437185943126678,0.07733333110809326,0.3822445571422577,0.36266666650772095,2.708115339279175,2.706561326980591,2022-07-11 22:26:02
2,0.20256879925727844,0.06666666269302368,0.9728440046310425,1.0,2.4577823837884137e+26,2.78194260597229,2022-07-12 12:29:50
2,0.225963294506073,0.11666666716337204,0.8735779523849487,0.3333333432674408,1.902974247932434,4.268610000610352,2022-07-12 12:39:45
2,0.23174311220645905,0.10733333230018616,0.8652293086051941,0.3333333432674408,1.9426465034484863,4.4508819580078125,2022-07-12 12:45:30
2,0.22146788239479065,0.10000000149011612,0.8186238408088684,0.33399999141693115,2.1247942447662354,3.8121392726898193,2022-07-12 14:11:55
2,0.24376146495342255,0.10799999535083771,0.8615596294403076,0.33266666531562805,1.9516007900238037,3.712859869003296,2022-07-12 14:28:19
2,0.07068676501512527,0.07000000029802322,0.36867672204971313,0.3386666774749756,2.710827589035034,2.7081713676452637,2022-07-12 14:54:15
2,0.08894472569227219,0.06666666269302368,0.406867653131485,0.3333333432674408,2.698768138885498,2.7160134315490723,2022-07-12 14:56:58
2,0.09798994660377502,0.06666666269302368,0.47102177143096924,0.3333333432674408,2.694706678390503,2.7221717834472656,2022-07-12 15:00:02
2,0.09597989916801453,0.06933332979679108,0.44070351123809814,0.37066665291786194,2.693127155303955,2.7161080837249756,2022-07-12 15:02:43
2,0.09279731661081314,0.06666666269302368,0.4433835744857788,0.39533331990242004,2.6948623657226562,2.716907024383545,2022-07-12 15:11:12
4,0.15728643536567688,0.18066667020320892,0.9839195609092712,1.0,2.569477081298828,2.5567305088043213,2022-07-13 10:48:45
4,0.34857621788978577,0.4659999907016754,0.7798994779586792,0.9013333320617676,1.9670343399047852,1.6289316415786743,2022-07-13 11:18:40
4,0.42663314938545227,0.5059999823570251,0.8350083827972412,0.9126666784286499,2.0757925510406494,1.800603985786438,2022-07-13 11:34:05
4,0.35611391067504883,0.47200000286102295,0.7839195728302002,0.8586666584014893,2.302197217941284,2.010967493057251,2022-07-13 11:41:15
4,0.31490787863731384,0.43066665530204773,0.7356783747673035,0.8339999914169312,2.203108072280884,1.8931225538253784,2022-07-13 12:42:25
4,0.3943048417568207,0.5460000038146973,0.8229480385780334,0.9433333277702332,1.9166784286499023,1.5750751495361328,2022-07-13 12:48:45
4,0.35293132066726685,0.5353333353996277,0.7768844366073608,0.9226666688919067,2.0848538875579834,1.723289966583252,2022-07-13 12:51:41
4,0.1969849169254303,0.23866666853427887,0.4954773783683777,0.5640000104904175,25.641267776489258,11.545445442199707,2022-07-13 12:57:28
4,0.5623115301132202,0.7106666564941406,0.8948073387145996,0.9800000190734863,4.466723918914795,2.396230459213257,2022-07-13 13:29:55
4,0.6380234360694885,0.7046666741371155,0.9241206049919128,0.972000002861023,1.4255592823028564,1.3180691003799438,2022-07-13 14:16:25
4,0.6817420125007629,0.7580000162124634,0.9465661644935608,0.9839999675750732,1.246127963066101,1.0550892353057861,2022-07-13 14:18:31
4,0.7113902568817139,0.7593333125114441,0.9579564332962036,0.9800000190734863,1.3153687715530396,1.1905423402786255,2022-07-13 14:26:42
4,0.6234505772590637,0.7486666440963745,0.9298157095909119,0.9833333492279053,1.4729578495025635,1.0788631439208984,2022-07-13 14:32:29
4,0.5497487187385559,0.7326666712760925,0.8817420601844788,0.984666645526886,3.5372657775878906,2.240579128265381,2022-07-13 15:09:28
4,0.488777220249176,0.6919999718666077,0.8747068643569946,0.9726666808128357,5.669135093688965,2.468075752258301,2022-07-13 15:19:08
4,0.5604690313339233,0.7086666822433472,0.8927972912788391,0.9826666712760925,1.7136684656143188,1.1045981645584106,2022-07-13 15:23:43
4,0.16415409743785858,0.27799999713897705,0.5390284657478333,0.7699999809265137,3.24470591545105,2.1049020290374756,2022-07-13 15:29:44
4,0.4170854091644287,0.6653333306312561,0.7916247844696045,0.9673333168029785,2.0802199840545654,0.9851090312004089,2022-07-13 15:32:23
4,0.41440534591674805,0.6826666593551636,0.8123952746391296,0.9706666469573975,2.0491065979003906,0.9245473742485046,2022-07-13 15:38:06
4,0.4683417081832886,0.6886666417121887,0.8398659825325012,0.968666672706604,1.7304307222366333,0.944508969783783,2022-07-13 15:54:26
4,1.0,0.7673333287239075,1.0,0.9886666536331177,0.09224575012922287,0.70634925365448,2022-07-13 16:19:43
5,0.48810720443725586,0.39666667580604553,0.8994974493980408,0.8180000185966492,1.5283808708190918,1.823655605316162,2022-07-13 16:26:58
1,0.3118928074836731,0.1899999976158142,0.9996649622917175,1.0,2.3688323497772217,2.6908016204833984,2022-07-13 17:28:39
1,0.356783926486969,0.22200000286102295,0.7350083589553833,0.6340000033378601,2.3677680492401123,2.6841962337493896,2022-07-13 17:30:50
1,0.23115578293800354,0.2199999988079071,0.6482412219047546,0.5806666612625122,67.40121459960938,67.1279296875,2022-07-13 17:40:49
1,0.6673367023468018,0.43199998140335083,0.9092127084732056,0.793999969959259,12.532354354858398,12.769587516784668,2022-07-13 17:42:58
